Altium Designer Pick and Place Locations
C:\Users\Barne\OneDrive\Dokumenty\GitHub\rocket-hw\OBC v1.6 FE\Project Outputs for OBCv1.6FE\Pick Place for OBCv1.6FE.csv

========================================================================================================================
File Design Information:

Date:       12.08.24
Time:       09:14
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U9","ADS7866IDBVT","BottomLayer","SOT95P280X145-6N","22.5000","52.5000","180","Integrated Circuit"
"D4","1N4148W-7-F","BottomLayer","SOD3716X145N","13.1000","45.3000","90","Diode"
"D2","","TopLayer","FP-LTST-C191TBKT-MFG","27.3000","52.7000","180","LED BLUE CLEAR CHIP SMD"
"R55","Resistor 10K  +/-1 % 0402 63 mW","BottomLayer","RESC0402(1005)_L","19.9520","44.3794","0","Chip Resistor, 10 kOhms, +/-1 %, 63 mW, -55 to 125 degC, 0402"
"R54","Resistor 100R +/-1 % 0402 63 mW","BottomLayer","RESC0402(1005)_L","19.9500","46.2000","180","Chip Resistor, 100 Ohms, +/-1 %, 63 mW, -55 to 155 degC, 0402"
"LS1","CST-931AP","TopLayer","CUI_CST-931AP","15.1000","45.3000","90","9 mm, 3 V, 85 dB, Through Hole, Magnetic Audio Transducer Buzzer"
"Q13","2N7002-7-F","BottomLayer","FP-SOT23-MFG","17.2000","45.2500","180","MOSFET N-CH 60V 115MA SOT23-3"
"R53","Resistor 10R  +/-1 % 0402 63 mW","TopLayer","RESC0402(1005)_L","17.2000","76.3000","90","Chip Resistor, 10 Ohms, +/-1 %, 63 mW, -55 to 155 degC, 0402"
"L2","27nH","TopLayer","INDC1005X65N","15.7000","76.2000","180","IND 27nH 0.3A 1000mâ„"
"C42","Capacitor 100nF +/-20% 10V 0402","TopLayer","CAPC0402(1005)60_L","18.2379","76.2910","90","Chip Capacitor, 100nF +/-20%, 10V, 0402, Thickness 0.6 mm"
"F8","0.5A","BottomLayer","FUSC2114X75N","10.0000","28.6000","0","Fuse"
"F7","0.5A","BottomLayer","FUSC2114X75N","10.0000","24.3000","0","Fuse"
"F6","0.5A","BottomLayer","FUSC2114X75N","27.2000","45.3000","180","Fuse"
"C58","Capacitor 10µF +/-20% 10V 0603","BottomLayer","CAPC0603(1608)100_L","4.0000","19.5000","90","Chip Capacitor, 10µF +/-20%, 10V, 0603, Thickness 1 mm"
"C49","Capacitor 10µF +/-20% 10V 0603","BottomLayer","CAPC0603(1608)100_L","4.0000","14.7000","270","Chip Capacitor, 10µF +/-20%, 10V, 0603, Thickness 1 mm"
"U12","NCV1117ST50T3G","BottomLayer","SOT230P700X180-4N","8.1000","17.1000","90","Integrated Circuit"
"F5","6A","BottomLayer","1206L075SLYR","10.0000","37.5000","90","Resettable Fuse"
"S4","TPS22810DRVT","BottomLayer","SON65P200X200X80-7N","6.3000","34.1000","0","Switch"
"C45","Capacitor 1µF +/-20% 10V 0402","BottomLayer","CAPC0402(1005)60_L","6.8744","35.8966","0","Chip Capacitor, 1µF +/-20%, 10V, 0402, Thickness 0.6 mm"
"S1","TPS22810DRVT","BottomLayer","SON65P200X200X80-7N","6.3000","25.5000","0","Switch"
"S2","TPS22810DRVT","BottomLayer","SON65P200X200X80-7N","6.3000","29.8000","0","Switch"
"C47","Capacitor 1µF +/-20% 10V 0402","BottomLayer","CAPC0402(1005)60_L","6.9000","22.9835","0","Chip Capacitor, 1µF +/-20%, 10V, 0402, Thickness 0.6 mm"
"C48","Capacitor 1µF +/-20% 10V 0402","BottomLayer","CAPC0402(1005)60_L","6.9000","27.3000","0","Chip Capacitor, 1µF +/-20%, 10V, 0402, Thickness 0.6 mm"
"R9","Resistor 10K  +/-1 % 0402 63 mW","BottomLayer","RESC0402(1005)_L","26.1000","55.4000","0","Chip Resistor, 10 kOhms, +/-1 %, 63 mW, -55 to 125 degC, 0402"
"U10","REF3125AIDBZR","BottomLayer","SOT95P237X112-3N","27.5000","52.5000","0","Power Supply"
"C43","Capacitor 100nF +/-20% 10V 0402","BottomLayer","CAPC0402(1005)60_L","25.1000","53.0000","90","Chip Capacitor, 100nF +/-20%, 10V, 0402, Thickness 0.6 mm"
"C44","Capacitor 470nF +/-40% 10V 0402","BottomLayer","CAPC0402(1005)60_L","26.5268","50.4219","180","Chip Capacitor, 470nF +/-40%, 10V, 0402, Thickness 0.6 mm"
"R5","Resistor 1K +/-5 % 0402 63 mW","BottomLayer","RESC0402(1005)_L","26.5268","48.6219","0","Chip Resistor, 1 kOhms, +/-5 %, 63 mW, -55 to 155 degC, 0402"
"R4","Resistor 1K +/-5 % 0402 63 mW","BottomLayer","RESC0402(1005)_L","23.1000","48.6000","0","Chip Resistor, 1 kOhms, +/-5 %, 63 mW, -55 to 155 degC, 0402"
"R3","Resistor 100K +/-1 % 0402 63 mW","BottomLayer","RESC0402(1005)_L","26.5268","49.5219","0","Chip Resistor, 100 kOhms, +/-1 %, 63 mW, -55 to 155 degC, 0402"
"TP1","5003","TopLayer","KSTN-5003","26.3000","79.6000","0","Test Point, Orange, Height 4.6 mm, Tail Length 3 mm, 1-Pin THD, RoHS"
"R52","Resistor 10K  +/-1 % 0402 63 mW","BottomLayer","RESC0402(1005)_L","21.0820","66.8068","0","Chip Resistor, 10 kOhms, +/-1 %, 63 mW, -55 to 125 degC, 0402"
"R51","Resistor 10K  +/-1 % 0402 63 mW","BottomLayer","RESC0402(1005)_L","19.3616","71.0967","0","Chip Resistor, 10 kOhms, +/-1 %, 63 mW, -55 to 125 degC, 0402"
"R49","Resistor 10K  +/-1 % 0402 63 mW","BottomLayer","RESC0402(1005)_L","28.2000","69.7000","270","Chip Resistor, 10 kOhms, +/-1 %, 63 mW, -55 to 125 degC, 0402"
"R56","Resistor 10K  +/-1 % 0402 63 mW","BottomLayer","RESC0402(1005)_L","21.6476","77.0911","180","Chip Resistor, 10 kOhms, +/-1 %, 63 mW, -55 to 125 degC, 0402"
"R14","Resistor 10K  +/-1 % 0402 63 mW","BottomLayer","RESC0402(1005)_L","28.3000","73.9534","270","Chip Resistor, 10 kOhms, +/-1 %, 63 mW, -55 to 125 degC, 0402"
"R50","Resistor 10K  +/-1 % 0402 63 mW","BottomLayer","RESC0402(1005)_L","21.6434","78.1898","180","Chip Resistor, 10 kOhms, +/-1 %, 63 mW, -55 to 125 degC, 0402"
